legal_entity_id	estimated_number_employees	nace_code	secondary_nace_code	task
10063702	2.0	3513.0	2712.0	none
10063704	36530.0	3511.0		none
10263700				none
10613726	845.0	141.0	1051.0	none
10639296	9.0	6202.0		none
10639535		466.0		none
10639711	64.0	620.0		none
10640215	1900.0	8610.0	8710.0	none
10640807	5.0	7410.0		none
10640813	1655.0	2442.0		none
10641292	44.0	6201.0		none
10641378	75.0	2229.0	2573.0	none
10641856	70.0	2229.0		none
10642194	33.0	7112.0		none
10642429	1148.0	8610.0		none
10643697	191.0	2899.0	4669.0	none
10644202	21.0	6209.0	4741.0	none
10645520	26.0	5510.0		none
10645991				none
10646165	5.0	620.0		none
10646524	172.0	2562.0		none
10647274	11.0	7112.0		none
10647391	5.0	6209.0		none
10647392	7.0	9529.0	2511.0	none
10647478	69.0	7219.0	3320.0	none
10648808				none
10649968	65.0	2599.0		none
10650027	49.0	2229.0	2573.0	none
10650042	158.0	2221.0		none
10650299	209.0	4221.0		none
10650359	98.0	8423.0		none
10650464	24.0	4644.0	4669.0	none
10650732	5.0	4332.0		none
10651538	341.0	5813.0		none
10652754	125.0	2815.0		none
10652769	273.0	6399.0		none
10653081	8077.0	4674.0		none
10653088	9.0	3230.0		none
10654064		4531.0		none
10654427	185.0	1011.0	1013.0	none
10654623	70.0	2572.0	1392.0	none
10655872	579.0	7010.0		none
10656029	19.0	1813.0		none
10656658	33.0	2815.0	4669.0	none
10656880	93.0	2442.0		none
10656895	9000.0	8559.0	4741.0	none
10656910	2.0	8690.0		none
10657249	93.0	721.0	2573.0	none
10657744	636.0	2893.0		none
10657820	69523.0	5110.0		none
10657846	160.0	4669.0	2829.0	none
10658493		8621.0		none
10658518	5.0	2611.0		none
10658560	224.0	6201.0	4741.0	none
10658649	154.0	3511.0	3600.0	none
10659591	5.0	4322.0		none
10660047		58.0		none
10661094	7.0	6311.0	6202.0	none
10661148	6.0	4799.0	7112.0	none
10661160	174.0	7112.0		none
10661213	6.0	960.0		none
10661453	6.0	6910.0		none
10661876	3338.0	3250.0		none
10663051	150.0	2732.0	2611.0	none
10663556	20.0	467.0	4719.0	none
10663822	8.0	1084.0		none
10664144	60.0	2453.0	2454.0	none
10664219	23.0	6203.0	8413.0	none
10665001	50.0	8520.0		none
10665688	281.0	2841.0	2573.0	none
10666113	5.0	432.0		none
10666298				none
10666423	1.0	4614.0		none
10667121	19.0	28.0		none
10667717	9.0	1623.0		none
10668359	200.0	620.0		none
10668910	210.0	2651.0		none
10668931	40.0	2790.0	4669.0	none
10668945	30.0	6920.0		none
10669435	5.0	1013.0		none
10669832	49.0	2620.0		none
10670908	25.0	3012.0	3315.0	none
10671042	20.0	2229.0		none
10671261	5035.0	8542.0		none
10671315	40.0	2550.0	2562.0	none
10671565	9.0	2651.0	4651.0	none
10671587	498.0	6201.0	6202.0	none
10671966	3.0	702.0		none
10673392	15.0	7112.0	4669.0	none
10673434	11.0	4651.0		none
10673627	19.0	4531.0	4532.0	none
10673691	5.0	702.0		none
10674247	5.0	4761.0		none
10674571	760.0	8411.0		none
10674926	8.0	6832.0	6820.0	none
10675277	171.0	1392.0		none
10675350	102.0	4649.0		none
10675470	38.0	2813.0	3312.0	none
10675572	9.0	2561.0		none
10677304		91.0		none
10678700	99.0	2829.0		none
10679029	940.0	2932.0	2813.0	none
10679753	9.0	4532.0		none
10680299	6.0	4672.0		none
10681213	15.0	4531.0		none
10731578	45.0	6201.0	6202.0	none
10756550	72.0	2221.0	4673.0	none
11431567	191.0	6419.0		none
12356599	300.0	5914.0		none
12456565				none
13556563		7112.0		none
13656581		9499.0		none
14181569	11.0	2829.0	3320.0	none
14306599	67.0	2611.0		none
14481553	56.0	2562.0	2454.0	none
14606571	100.0	721.0	7219.0	none
14631554	81.0	1721.0	1712.0	none
14706585	17.0	4673.0	2229.0	none
14906573	8.0	7112.0		none
15356572	4.0	479.0		none
15606581	1500.0	8424.0	8411.0	none
15631578	740.0	2894.0	4664.0	none
15706565	5.0	4932.0		none
15731594	62.0	7112.0	7112.0	none
16281844	5.0	620.0		none
16481567	9.0	2620.0		none
16481628	25.0	2599.0	4615.0	none
16656575	4.0	38.0		none
16906575	378.0	2572.0	4618.0	none
16906642	5.0	111.0		none
16956938	501.0	8411.0		none
16957090	4.0	1811.0		none
16957092	7.0	7010.0	3511.0	none
16957590	325.0	28.0	2562.0	none
16957617	1290.0	2841.0		none
16958078	209.0	4646.0	2120.0	none
16958088	45.0	3299.0	4649.0	none
16958884	9.0	4634.0		none
16958928	28.0	8299.0	6201.0	none
16959006	5.0	4321.0		none
16959039	4.0	479.0		none
16959385	62.0	2229.0		none
16959421	1552.0	8424.0		none
16959511	204.0	7112.0	2651.0	none
16960565	200.0	41.0	2361.0	none
16961423	19.0	2561.0		none
16961695	303.0	6202.0	7022.0	none
16962041	19.0	2592.0	4674.0	none
16962750		2651.0		none
16962770	424.0	2740.0	4669.0	none
16962777		1512.0		none
16963144		2511.0		none
16963736	4.0	2841.0		none
16964245		191.0		none
16965319	15.0	4759.0	3102.0	none
16966016	140.0	2562.0	2599.0	none
16967322	4.0			none
16967366	51.0	2712.0		none
16967407	5.0	4321.0		none
16967438	30.0	1811.0		none
16967857		6202.0		none
16967903	5.0			none
16968021	127.0	2825.0	353.0	none
16968105	283.0	8542.0		none
16968153	5.0	4771.0		none
16969908	2454.0	2446.0		none
16969988	200.0	4652.0		none
16970225				none
16971086	5.0	7112.0		none
16971833		211.0		none
16971853	41.0	2221.0	2399.0	none
16971908	16.0	6201.0	9609.0	none
16972561		1083.0		none
16972808	2.0	8299.0		none
16973072	5.0	47.0		none
16973259		4651.0		none
16973451	180.0	3101.0		none
16974156		255.0		none
16974398	160.0	5629.0		none
16974446	371.0	1721.0	181.0	none
16974860	5.0	7010.0	7112.0	none
16975248	19.0	4613.0		none
16975272	295.0	2829.0		none
16975686	14.0	150.0	161.0	none
16975862	500.0	7120.0		none
16975902	137.0	7311.0	2790.0	none
16976290	5.0	6201.0	6202.0	none
16976324	10.0	4321.0		none
16976423	1966.0	1721.0	1712.0	none
16976536	52.0	2891.0	2599.0	none
16976598	545.0	6512.0		none
16976799	55.0	6201.0	6202.0	none
16977109	28.0	841.0		none
16978241	3.0	9609.0	6202.0	none
16978799	163.0	8899.0		none
16979363	362.0	4675.0		none
16979681	301.0	2110.0	2013.0	none
16979804	228.0	2651.0		none
16979913	288.0	2822.0		none
16980445	20.0	2562.0	27.0	none
16980584	335.0	8542.0		none
16983449	19.0	4674.0		none
16984582	45.0	4321.0	4791.0	none
16984814	5.0	711.0		none
16984910	20.0	4632.0	1011.0	none
16984954	83.0	8610.0		none
16986195	835.0	1107.0	1032.0	none
16986301	229.0	6110.0	6190.0	none
16986607	25.0	6920.0		none
16986845	81.0	4329.0	4321.0	none
16987375	5.0	8299.0		none
16987463	20.0	2573.0	2550.0	none
16987629	76.0	4669.0		none
16987804		2591.0		none
16988115	111.0	2573.0	2016.0	none
16988169	9.0	4673.0		none
16988294	38.0	4651.0	2620.0	none
16988313	376.0	6311.0		none
16988362	16.0	8121.0	8110.0	none
16988482	110.0	2651.0	2620.0	none
16988804		2453.0		none
16988938	39.0	4673.0	4647.0	none
16991182	6.0	6622.0	6619.0	none
16991237	4.0	683.0		none
16991479	304.0	3250.0	4646.0	none
16992488	5.0	9609.0		none
16992551	10588.0	8411.0		none
16992663	18.0	7112.0	2812.0	none
16993769	15.0	2561.0		none
16994573	2000.0	8610.0		none
16994698	5.0	7112.0		none
16995042	1100.0	3511.0	3600.0	none
16995121	675.0	7219.0		none
16995345	191.0	1813.0	9609.0	none
16995350	80.0	2849.0	2815.0	none
16995914	5.0	6920.0		none
16995916	636.0	2899.0	2813.0	none
16996149	14.0	4773.0		none
16996522		4743.0		none
16997726	300.0	8710.0		none
16997735	9.0	7112.0	2829.0	none
16997862	240.0	8810.0		none
16997952	9.0	7112.0		none
16998439	21.0	2599.0		none
16999167	10.0	6201.0		none
16999521	83.0	4673.0	4673.0	none
17000064	5.0	7420.0		none
17000086	2.0	7111.0		none
17000123	125.0	2219.0	4791.0	none
17000169	5.0	4651.0		none
17000228	943.0	2894.0	2895.0	none
17001086	5.0	2651.0		none
17001381	4477.0	7219.0		none
17001635	24.0	2573.0		none
17002529	137.0	2822.0	4669.0	none
17002591	5.0	4615.0		none
17003073	40.0	3230.0	2561.0	none
17003093	19.0	2899.0		none
17003389	35.0	4321.0	6209.0	none
17004320	40.0	85.0		none
17004977	5.0	4321.0		none
17005200	25.0	8810.0		none
17005558	6.0	4661.0		none
17006580	587.0	2652.0	4777.0	none
17006690	14.0	4618.0	4646.0	none
17007665		4773.0		none
17007666	129.0	6419.0		none
17008381	146.0	6201.0	6202.0	none
17008426	30.0	7112.0		none
17008497	16.0	6203.0	4741.0	none
17009038	67.0	4669.0	2550.0	none
17009568				none
17009583	164.0	2899.0	2841.0	none
17009587	1.0	4321.0		none
17009702		2591.0		none
17009749	1702.0	8413.0		none
17010115		2219.0		none
17010164	4.0	4752.0		none
17010369	117.0	5510.0		none
17022303	44.0	6201.0	4674.0	none
17071502	175.0	2562.0		none
17072196	11.0	7021.0		none
17096539	5.0	4762.0		none
17097206		1512.0		none
17098447	1500.0	7219.0		none
17099541	120.0	2059.0	1920.0	none
17099928	193.0	3513.0		none
17099983	89.0	2651.0	279.0	none
17100081	99.0	2829.0	4669.0	none
17100140	17.0	6202.0	4651.0	none
17100276	6.0	4741.0		none
17121695	83.0	2361.0	2369.0	none
17121715	10.0	4321.0		none
17122110	60.0	5510.0	5630.0	none
17122170				none
17122695	103.0	2229.0	2016.0	none
17122858		1107.0		none
17123011	102.0	2751.0		none
17123322	15.0	2899.0	2611.0	none
17123356	401.0	1013.0		none
17123684		2511.0		none
17171754	6.0	4649.0	4791.0	none
17171777	31.0	7111.0		none
17171915	95.0	2899.0	4669.0	none
17172241	900.0	8423.0		none
17172372	9.0	9511.0		none
17172392	100.0	2611.0	7112.0	none
17172478	2000.0	841.0		none
17173141	5.0	4321.0		none
17173170	86.0	4643.0		none
17174288	49.0	2052.0	2030.0	none
17174410	5.0	4669.0		none
17174411	5.0	6820.0		none
17197623	642.0	3700.0		none
17197712	350.0	7219.0		none
17197952	5.0	8211.0		none
17198666	199.0	2599.0		none
17198733	1448.0	6512.0		none
17198807	1642.0	7219.0		none
17199078	61.0	2562.0		none
17199154	202.0	4211.0	2361.0	none
17199579	185.0	4675.0		none
17221455	7.0	4754.0	4759.0	none
17221521	69.0	4669.0		none
17221541		4643.0		none
17221757	1.0	2790.0		none
17222181	197.0	4690.0		none
17222683	19.0	731.0		none
17222702		4741.0		none
17222710	5.0	7112.0		none
17222751	27.0	2562.0	2899.0	none
17223033	26.0	28.0		none
17223570	5.0	451.0	4690.0	none
17223628	1600.0	8810.0		none
17223669	99.0	2829.0		none
17223726	239.0	2319.0	2312.0	none
17224373	55.0	4332.0	4674.0	none
17224513				none
17246491	99.0	2829.0		none
17246621	8.0	94.0		none
17246674	1179.0	7219.0		none
17246740	11.0	721.0	8299.0	none
17246779		1512.0		none
17271534	5.0	411.0		none
17271654	12.0	4618.0		none
17271783	5.0	6209.0		none
17321600	9.0	4646.0		none
17322689	8000.0	8542.0		none
17322704	19.0	2651.0		none
17322765	42.0	4759.0		none
17322867	72.0	4669.0	4643.0	none
17323150	15000.0	2899.0		none
17323158	34.0	2016.0	2229.0	none
17323454	199.0	3109.0		none
17346521	19.0	4334.0		none
17396665	2.0	2573.0		none
17397455	8.0	8559.0		none
17422062	450.0	2932.0	2651.0	none
17422183	650.0	7112.0		none
17422225	271.0	2849.0	4669.0	none
17446506	5.0	2821.0		none
17447070	300.0	2822.0		none
17471905	13.0	2891.0	466.0	none
17521743	5.0	620.0		none
17521808	19.0	4321.0		none
17522227	102.0	4674.0	205.0	none
17571694	223.0	1721.0	1812.0	none
17571842	4.0	949.0		none
17596590		8411.0		none
17596689	5.0	2591.0		none
17596984	5.0	952.0		none
17597066	4.0	862.0		none
17597238	14.0	2651.0	4614.0	none
17597313	183.0	5229.0		none
17597561	1.0	8110.0	6832.0	none
17597658	59.0	4669.0	2399.0	none
17597866	23.0	4531.0	4759.0	none
17622291	119.0	855.0	8559.0	none
17622311				none
17622650	5.0	620.0		none
17622813	130.0	2670.0	2670.0	none
17623257	20.0	4662.0		none
17721508	67.0	9313.0	8551.0	none
17771515	1179.0	2899.0		none
17796461				none
17846571	19.0	4672.0		none
17871470	42.0	6419.0		none
17896502	20.0	2651.0	4669.0	none
17896575	5.0	4321.0		none
17996475	10.0	8623.0		none
18171452		742.0		none
18246494	5.0	6920.0		none
18271483	22.0	2511.0		none
18296477	2.0	5819.0		none
18296485	110.0	4532.0	4531.0	none
18496455	11.0	4752.0	4674.0	none
18546465	40.0	2813.0	2814.0	none
18596469	5.0			none
18621482				none
18721461	6.0	7111.0	4329.0	none
18721492	67.0	2221.0		none
18896462	258.0	8690.0		none
18896492	43.0	14.0	2562.0	none
19021489	5.0	2611.0		none
19096487	2.0	7112.0		none
19196474	5.0	620.0		none
19321468		4651.0		none
19496472	6.0	64.0		none
19771466	5736.0	8542.0		none
19971480	5.0	6920.0		none
19996498	82.0	6209.0	7112.0	none
20021477				none
20046496	1800.0	6203.0		none
20071463		162.0		none
20121464	5.0	4772.0		none
20546497	5.0	2894.0		none
20746454		4643.0		none
20771475	400.0	8790.0	8899.0	none
20771477	554.0	2651.0	2573.0	none
20796464	5.0	6190.0	6190.0	none
20796490	40.0	2899.0		none
20821456	36.0	9499.0		none
20946463	37.0	4334.0		none
20946475	70.0	2894.0		none
21046454	2.0	702.0		none
21246461	5.0	7112.0		none
21446462	240.0	2344.0		none
21546476	25.0	2511.0	2562.0	none
21721468				none
21721477	174.0	2229.0		none
21746475	5.0	692.0		none
21821485	284.0	2399.0	2365.0	none
21946472	50.0	257.0		none
22371450		1512.0		none
22471469	124.0	2030.0	4673.0	none
22946450	5.0	2599.0		none
23021470	149.0	477.0	2640.0	none
23246490	57.0	2229.0	1814.0	none
23471471	823.0	8542.0		none
23521458	300.0	2110.0		none
23596451	5.0	4321.0		none
23646475	5.0	692.0		none
23671476	44.0	4675.0	4621.0	none
