feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max
n_orders,int64,35157,0,0.0,266,10.231817276786984,23.38526816457748,1.0,576.0
m_active,int64,35157,0,0.0,24,4.998464032767301,4.993601313172352,1.0,24.0
m_observed,int64,35157,0,0.0,24,11.257046960775948,8.086364778429735,1.0,24.0
rho_freq,float64,35157,0,0.0,187,0.6057238353413845,0.3924583469438394,0.08695652173913043,3.0
delta_recency,int64,35157,0,0.0,19,5.433540973348124,4.809353112473344,0.0,18.0
sigma_gap,float64,35157,7844,0.22311346246835623,1648,1.4932427248683728,1.6283529287028762,0.0,10.5
mu_gap,float64,35157,7844,0.22311346246835623,172,4.6485344773752395,3.8027241522090125,1.0,23.0
CV_gap,float64,35157,7844,0.22311346246835623,2294,0.4110725109019173,0.33050007520765046,0.0,1.6378460497066514
s_total,float64,35157,0,0.0,31706,1185.256359487442,3844.2633271188192,0.5700000000000001,181754.87993
s_total_sqrt,float64,35157,0,0.0,31218,24.711541776414887,23.97107437521204,0.754983443527075,426.3271982057912
s_median_line,float64,35157,0,0.0,24120,128.55228125963532,282.7282869263096,0.28500000000000003,12400.0
w_e_b,float64,35157,0,0.0,35037,0.0009648336009239266,0.003042605182758677,4.6489089260999097e-07,0.17749527102910279
delta_trend,float64,35157,0,0.0,15,0.21317234121227635,0.9194137837725145,-3.0,4.0
log_employees,float64,35157,0,0.0,47,7.148790334492974,1.6492194364547021,0.0,12.620883941637919
nace_2,str,35157,0,0.0,25,,,,
nace_code,str,35157,0,0.0,41,,,,
