feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max
n_orders,int64,65870,0,0.0,328,10.122180051616821,26.056701390687824,1.0,1983.0
m_active,int64,65870,0,0.0,24,4.8635342340974645,4.941667826402419,1.0,24.0
m_observed,int64,65870,0,0.0,24,10.930332473052983,8.069481942652661,1.0,24.0
rho_freq,float64,65870,0,0.0,191,0.6170536599751203,0.4035003168345077,0.08333333333333333,3.0
delta_recency,int64,65870,0,0.0,19,5.543813572187642,4.835650899594196,0.0,18.0
sigma_gap,float64,65870,15479,0.234993168361925,1864,1.4655443536040633,1.616746911102744,0.0,10.5
mu_gap,float64,65870,15479,0.234993168361925,172,4.655270970982064,3.7961263054734884,1.0,23.0
CV_gap,float64,65870,15479,0.234993168361925,2581,0.40267199828664924,0.32981455681040145,0.0,1.6836599252229214
s_total,float64,65870,0,0.0,55558,1273.5933555803856,4827.946234725666,0.5700000000000001,470422.93
s_total_sqrt,float64,65870,0,0.0,54264,25.339113788504342,25.130305520401688,0.754983443527075,685.8738440850475
s_median_line,float64,65870,0,0.0,38638,142.17895552838925,325.5785945064755,0.28500000000000003,17758.0
w_e_b,float64,65870,0,0.0,65655,0.001098405803525128,0.004487648761082746,4.6489089260999097e-07,0.32091244764394167
delta_trend,float64,65870,0,0.0,15,0.20266433884924853,0.9135728813305914,-3.0,4.0
log_employees,float64,65870,0,0.0,90,7.143944797459907,2.0045626384723025,0.0,13.275470655934871
nace_2,str,65870,906,0.013754364657659026,35,,,,
nace_code,str,65870,906,0.013754364657659026,71,,,,
