,eclass,first_purchase_count
0,27050401.0,21323
1,40011201.0,17109
2,27061801.0,14776
3,24200201.0,14700
4,29120102.0,14048
5,19030312.0,12177
6,21040401.0,10784
7,27260701.0,10646
8,21040301.0,9482
9,24200101.0,9338
10,24321202.0,9231
11,19069203.0,9032
12,24260601.0,9023
13,19020402.0,8792
14,19020401.0,8402
15,24210590.0,7970
16,21010101.0,7635
17,27050604.0,7581
18,40011301.0,7581
19,24360105.0,7271
20,29043801.0,6636
21,21040402.0,6569
22,40200102.0,6290
23,24240501.0,6217
24,19020102.0,6137
25,21100420.0,6017
26,29042901.0,5853
27,23330190.0,5820
28,24290101.0,5773
29,23110102.0,5524
30,24250401.0,5379
31,21040602.0,5363
32,24289090.0,5237
33,19030209.0,5161
34,21059202.0,5129
35,27140702.0,5014
36,24260103.0,4850
37,30021690.0,4594
38,29041601.0,4522
39,21011318.0,4448
40,27142604.0,4415
41,21040202.0,4403
42,27119001.0,4306
43,24360204.0,4220
44,21040601.0,4121
45,24230590.0,4018
46,21040105.0,3994
47,29043001.0,3861
48,29110107.0,3772
49,21100101.0,3714
50,19019201.0,3650
51,40030201.0,3631
52,24260203.0,3574
53,23090101.0,3550
54,37110390.0,3418
55,27294290.0,3347
56,30280101.0,3347
57,30021404.0,3243
58,24241701.0,3171
59,24321602.0,3158
60,29090301.0,3116
61,23050801.0,2997
62,23110701.0,2944
63,30021401.0,2942
64,23070601.0,2922
65,40200202.0,2912
66,19039190.0,2905
67,19030117.0,2904
68,21049090.0,2892
69,23060101.0,2856
70,27140602.0,2851
71,24300902.0,2838
72,24262301.0,2823
73,40011501.0,2821
74,19020503.0,2776
75,24210113.0,2762
76,37110190.0,2758
77,24230309.0,2754
78,21100701.0,2750
79,21070301.0,2733
80,27110690.0,2724
81,24210401.0,2711
82,23330207.0,2691
83,30021507.0,2679
84,21010210.0,2660
85,27371302.0,2644
86,27250203.0,2637
87,21049103.0,2612
88,27061803.0,2602
89,21059106.0,2577
90,29110105.0,2572
91,23110101.0,2546
92,21100421.0,2513
93,21041105.0,2497
94,19030501.0,2495
95,19060106.0,2486
96,23330390.0,2464
97,40020501.0,2397
98,21011603.0,2395
99,24241604.0,2341
100,30021302.0,2319
101,23190110.0,2311
102,29090201.0,2302
103,40011401.0,2281
104,27143424.0,2266
105,24240702.0,2258
106,19010107.0,2255
107,24290308.0,2251
108,19089204.0,2213
109,24301808.0,2181
110,21079105.0,2158
111,24292001.0,2154
112,29029004.0,2152
113,24301610.0,2140
114,40200103.0,2121
115,24292002.0,2102
116,19060101.0,2097
117,21040302.0,2093
118,40020301.0,2089
119,20420204.0,2061
120,27371601.0,2057
121,40010801.0,2056
122,27049190.0,2027
123,21079104.0,2025
124,27371901.0,2022
125,21041102.0,2004
126,21080101.0,2002
127,23110103.0,1987
128,19029290.0,1983
129,24280890.0,1963
130,24220701.0,1963
131,23060102.0,1953
132,40030212.0,1944
133,24301705.0,1929
134,27149109.0,1921
135,24301802.0,1909
136,19029003.0,1904
137,27110636.0,1895
138,21040901.0,1888
139,27141104.0,1887
140,19069092.0,1848
141,27400201.0,1846
142,27062001.0,1846
143,19030308.0,1843
144,21043090.0,1814
145,27060304.0,1812
146,24301809.0,1800
147,27062010.0,1794
148,24290301.0,1776
149,24210501.0,1752
150,24220602.0,1752
151,21040206.0,1749
152,21040190.0,1744
153,21100405.0,1720
154,19080702.0,1703
155,24210112.0,1699
156,40020401.0,1697
157,29119090.0,1695
158,29090390.0,1689
159,27060402.0,1681
160,27142001.0,1664
161,29110207.0,1658
162,20140402.0,1649
163,19010108.0,1628
164,29100201.0,1615
165,29110202.0,1614
166,21011311.0,1608
167,27144042.0,1607
168,27149115.0,1600
169,27140707.0,1600
170,30021609.0,1598
171,24220102.0,1591
172,19030506.0,1582
173,29020601.0,1582
174,23110111.0,1570
175,24241607.0,1568
176,24230490.0,1559
177,20030105.0,1553
178,19010105.0,1548
179,29110201.0,1540
180,24241401.0,1531
181,24301803.0,1526
182,20030106.0,1523
183,27294101.0,1523
184,27141120.0,1518
185,24311101.0,1518
186,27371003.0,1470
187,24262302.0,1461
188,27200301.0,1459
189,24270290.0,1453
190,21109102.0,1442
191,24220104.0,1436
192,41020102.0,1435
193,29110190.0,1431
194,22170302.0,1428
195,29120101.0,1406
196,30020690.0,1393
197,27140706.0,1385
198,24242502.0,1380
199,24290902.0,1380
200,24241601.0,1371
201,21010504.0,1339
202,24290401.0,1339
203,27260801.0,1328
204,29040701.0,1318
205,30021301.0,1316
206,20099090.0,1313
207,27119007.0,1311
208,24280602.0,1308
209,21052190.0,1305
210,40011302.0,1299
211,19030503.0,1292
212,27141901.0,1286
213,27270101.0,1281
214,24230109.0,1280
215,20270104.0,1280
216,27110310.0,1268
217,19030101.0,1259
218,24240701.0,1255
219,19029002.0,1251
220,23149102.0,1250
221,29029001.0,1236
222,21040220.0,1235
223,24220107.0,1228
224,24291101.0,1228
225,22549901.0,1215
226,27260101.0,1210
227,27149102.0,1205
228,40011603.0,1201
229,29029104.0,1200
230,29020605.0,1190
231,20330202.0,1179
232,24300301.0,1179
233,29100306.0,1178
234,36430990.0,1178
235,24230101.0,1172
236,21020801.0,1171
237,21040801.0,1170
238,20390301.0,1162
239,23159090.0,1160
240,37011101.0,1154
241,21109101.0,1154
242,27200106.0,1144
243,23170201.0,1134
244,21089290.0,1131
245,37010401.0,1131
246,29043902.0,1125
247,24291601.0,1123
248,24221001.0,1122
249,27399090.0,1120
250,40011101.0,1116
251,23110302.0,1113
252,29020101.0,1112
253,37010213.0,1107
254,27050101.0,1104
255,40011390.0,1101
256,27299220.0,1101
257,29110110.0,1100
258,21170306.0,1099
259,22360605.0,1098
260,27290201.0,1091
261,24300304.0,1090
262,27143415.0,1090
263,24320502.0,1086
264,30021701.0,1081
265,27400203.0,1074
266,27142602.0,1073
267,21060804.0,1063
268,24292006.0,1049
269,27149127.0,1044
270,27220501.0,1043
271,21160101.0,1043
272,20030101.0,1030
273,27149190.0,1027
274,24240101.0,1027
275,27142201.0,1026
276,27119090.0,1023
277,23100101.0,1021
278,27182590.0,1017
279,23270201.0,1012
280,21010102.0,1009
281,27294201.0,1008
282,30021403.0,1006
283,24230301.0,1000
284,40030190.0,997
285,24300908.0,996
286,19039001.0,991
287,24292701.0,990
288,24220901.0,985
289,24330301.0,978
290,27180201.0,972
291,21109090.0,970
292,21160108.0,963
293,19030103.0,957
294,24241602.0,954
295,21160103.0,945
296,40020205.0,939
297,21040702.0,936
298,19020208.0,933
299,24340601.0,931
300,19029004.0,930
301,22549090.0,929
302,27400401.0,929
303,23152201.0,926
304,27140505.0,922
305,19019190.0,920
306,21050602.0,917
307,21100401.0,916
308,23170403.0,912
309,40010102.0,908
310,27110410.0,907
311,41010302.0,904
312,21040222.0,903
313,21041601.0,902
314,22360101.0,900
315,28079101.0,896
316,40010302.0,893
317,27200601.0,892
318,24241690.0,891
319,20050290.0,889
320,19039005.0,889
321,21089101.0,884
322,32031802.0,884
323,24260405.0,883
324,21042101.0,880
325,40200101.0,875
326,40020201.0,872
327,36419090.0,871
328,27220601.0,870
329,23079090.0,864
330,27371228.0,864
331,21040208.0,862
332,22360606.0,847
333,24280601.0,846
334,29100303.0,843
335,19030112.0,842
336,27110601.0,841
337,34180490.0,839
338,23190101.0,837
339,40011601.0,835
340,40020803.0,834
341,23110301.0,828
342,24241608.0,824
343,27370401.0,824
344,29110210.0,824
345,27269190.0,821
346,27260201.0,820
347,24350103.0,818
348,28019290.0,811
349,24221101.0,810
350,34189290.0,808
351,24221401.0,804
352,21040603.0,802
353,23130107.0,799
354,21059190.0,798
355,40200104.0,791
356,27110303.0,788
357,27040690.0,787
358,21011315.0,786
359,28019123.0,780
360,29090101.0,775
361,24292201.0,771
362,24251901.0,764
363,22170301.0,760
364,29110203.0,758
365,24321501.0,755
366,40010101.0,750
367,21040501.0,748
368,21019190.0,745
369,23110603.0,745
370,23070101.0,744
371,27371501.0,742
372,21070101.0,738
373,29120190.0,736
374,24310302.0,734
375,23250304.0,734
376,19029102.0,731
377,21040706.0,731
378,23090301.0,729
379,40011405.0,726
380,24360290.0,722
381,20270102.0,720
382,24310309.0,719
383,30010301.0,718
384,22369102.0,716
385,23230101.0,715
386,21059290.0,711
387,29080190.0,709
388,24300201.0,708
389,24260101.0,707
390,27149129.0,704
391,24220905.0,704
392,24220401.0,704
393,20360101.0,703
394,21040104.0,699
395,40200203.0,699
396,21020501.0,697
397,29039090.0,697
398,29100305.0,696
399,27143404.0,694
400,24291502.0,694
401,27140908.0,691
402,21052101.0,679
403,23060190.0,678
404,19080501.0,670
405,19039090.0,669
406,21131721.0,668
407,29069090.0,667
408,23170601.0,666
409,24240601.0,666
410,19030511.0,665
411,21051314.0,665
412,24262304.0,660
413,21109104.0,658
414,40011503.0,656
415,24280802.0,650
416,36410102.0,649
417,23110901.0,648
418,21043102.0,646
419,22360705.0,644
420,21170614.0,643
421,23152101.0,638
422,27261290.0,635
423,23120201.0,633
424,24311902.0,633
425,22360690.0,630
426,27142007.0,630
427,21051690.0,629
428,29020206.0,629
429,23010103.0,629
430,21050101.0,628
431,21020701.0,625
432,21010202.0,624
433,21109105.0,620
434,37070514.0,620
435,24291801.0,620
436,19030508.0,611
437,24241606.0,609
438,27144001.0,608
439,27270990.0,607
440,30021304.0,605
441,24261301.0,603
442,24321103.0,599
443,24292205.0,597
444,24230601.0,597
445,20129201.0,596
446,30021502.0,592
447,29110204.0,591
448,27180102.0,588
449,40010401.0,586
450,23140202.0,582
451,27060490.0,582
452,24310701.0,581
453,21011305.0,580
454,22510190.0,575
455,21040204.0,573
456,30021611.0,572
457,29110109.0,570
458,19069091.0,566
459,24291304.0,564
460,23170205.0,562
461,22140105.0,562
462,24242201.0,561
463,27049002.0,560
464,27144021.0,557
465,27141141.0,555
466,21041501.0,555
467,24230701.0,552
468,21100412.0,551
469,23070890.0,550
470,22520101.0,549
471,29139090.0,548
472,37110291.0,548
473,24241402.0,546
474,23200101.0,546
475,35030501.0,545
476,27141133.0,545
477,23250402.0,543
478,24200202.0,543
479,27062005.0,542
480,27143204.0,541
481,22369105.0,541
482,24310710.0,541
483,27144022.0,539
484,27143409.0,538
485,22360608.0,537
486,37011108.0,537
487,37110290.0,532
488,27400204.0,531
489,19030314.0,531
490,24301611.0,528
491,38010302.0,528
492,24310303.0,527
493,21041001.0,527
494,27260704.0,526
495,19089202.0,526
496,37010491.0,524
497,21060701.0,519
498,22540190.0,519
499,20420290.0,518
500,27200290.0,516
501,21170303.0,516
502,24340307.0,515
503,40010103.0,513
504,27144037.0,508
505,27062006.0,504
506,24300305.0,500
507,27039101.0,500
508,22540202.0,500
509,36120301.0,499
510,21040803.0,499
511,27294205.0,499
512,21040211.0,496
513,27200103.0,492
514,29090302.0,492
515,23010501.0,492
516,22529090.0,492
517,21011601.0,491
518,20270190.0,491
519,21170207.0,490
520,27140905.0,489
521,27270104.0,487
522,21051502.0,484
523,21041103.0,483
524,21040701.0,481
525,27371205.0,480
526,23189101.0,473
527,23210192.0,470
528,23079002.0,469
529,23120402.0,468
530,27299221.0,467
531,24301504.0,467
532,24242101.0,465
533,23090303.0,458
534,27242202.0,457
535,23010102.0,456
536,24280701.0,456
537,21040218.0,453
538,22170201.0,453
539,34220101.0,449
540,21011304.0,445
541,19089290.0,436
542,22390409.0,435
543,22170102.0,434
544,21040219.0,430
545,32039090.0,430
546,24301502.0,429
547,41090301.0,429
548,24230903.0,428
549,30010302.0,427
550,21100425.0,427
551,32035102.0,427
552,40019113.0,427
553,27371902.0,426
554,19020501.0,425
555,34400202.0,425
556,27061802.0,424
557,27302102.0,424
558,23070190.0,420
559,39020104.0,420
560,22360104.0,418
561,24301606.0,418
562,27210902.0,417
563,21071101.0,416
564,37010203.0,414
565,21051990.0,414
566,36120202.0,414
567,27189250.0,412
568,22369104.0,409
569,23149090.0,409
570,24220801.0,409
571,23060601.0,408
572,22540101.0,405
573,24311105.0,404
574,40011102.0,403
575,24230311.0,403
576,24300403.0,403
577,21160106.0,402
578,23110806.0,400
579,19029090.0,400
580,27371410.0,400
581,27142801.0,400
582,21080901.0,399
583,24340905.0,397
584,24292401.0,395
585,27110301.0,395
586,40019290.0,394
587,27144007.0,393
588,24320703.0,393
589,21089190.0,393
590,36039090.0,391
591,40020203.0,391
592,21130603.0,390
593,27143406.0,388
594,27201108.0,388
595,23270402.0,387
596,19030309.0,387
597,21040106.0,386
598,22360790.0,386
599,21081005.0,383
600,27400205.0,382
601,22360304.0,380
602,22369090.0,379
603,24260105.0,379
604,19030106.0,378
605,27130801.0,378
606,40010601.0,377
607,27371403.0,376
608,21100201.0,376
609,36230301.0,376
610,29080102.0,375
611,24389090.0,375
612,24300307.0,374
613,21052390.0,374
614,20069090.0,373
615,21011901.0,373
616,29100101.0,372
617,24291303.0,371
618,24200302.0,370
619,34180190.0,370
620,40040301.0,369
621,29129090.0,366
622,37010801.0,365
623,24321902.0,364
624,27200211.0,363
625,23152304.0,363
626,19030305.0,358
627,29040301.0,357
628,27081002.0,356
629,27141139.0,356
630,24310101.0,355
631,24241902.0,355
632,29089090.0,354
633,24210701.0,353
634,24210109.0,352
635,19020201.0,351
636,21049115.0,351
637,30021303.0,350
638,27242207.0,350
639,22411101.0,349
640,24291401.0,349
641,24280801.0,348
642,19030304.0,347
643,23090302.0,346
644,27140606.0,346
645,21011602.0,345
646,24280901.0,345
647,24261706.0,344
648,22490303.0,341
649,30021101.0,341
650,27143208.0,341
651,20130201.0,340
652,20269090.0,340
653,24292009.0,339
654,23051301.0,339
655,27299090.0,338
656,19100101.0,338
657,40010201.0,336
658,27270190.0,333
659,27144002.0,333
660,27144090.0,333
661,24301801.0,332
662,21011320.0,332
663,27144046.0,331
664,27110401.0,331
665,36102090.0,330
666,40029103.0,330
667,32031709.0,328
668,21020490.0,326
669,19010103.0,326
670,27280401.0,325
671,32030522.0,324
672,27110305.0,324
673,21029106.0,324
674,24311401.0,324
675,19089203.0,323
676,23050190.0,323
677,24360390.0,322
678,24250301.0,319
679,24331290.0,319
680,21011390.0,318
681,24300905.0,318
682,23100501.0,318
683,24280104.0,316
684,21042202.0,314
685,27141140.0,314
686,27200217.0,314
687,40019104.0,313
688,21011319.0,313
689,27060390.0,313
690,21040690.0,312
691,23110118.0,312
