feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max
n_orders,int64,65870,0,0.0,328,10.122180051616821,26.056701390687824,1.0,1983.0
m_active,int64,65870,0,0.0,24,4.8635342340974645,4.941667826402419,1.0,24.0
m_observed,int64,65870,0,0.0,24,10.930332473052983,8.069481942652661,1.0,24.0
rho_freq,float64,65870,0,0.0,191,0.6170536599751203,0.4035003168345077,0.08333333333333333,3.0
delta_recency,int64,65870,0,0.0,19,5.543813572187642,4.835650899594196,0.0,18.0
sigma_gap,float64,65870,15479,0.234993168361925,1864,1.4655443536040633,1.616746911102744,0.0,10.5
mu_gap,float64,65870,15479,0.234993168361925,172,4.655270970982064,3.7961263054734884,1.0,23.0
CV_gap,float64,65870,15479,0.234993168361925,2581,0.40267199828664924,0.32981455681040145,0.0,1.6836599252229214
s_total,float64,65870,0,0.0,55558,1273.5933555803856,4827.946234725666,0.5700000000000001,470422.93
s_total_sqrt,float64,65870,0,0.0,54264,25.339113788504342,25.130305520401688,0.754983443527075,685.8738440850475
s_median_line,float64,65870,0,0.0,38638,142.17895552838925,325.5785945064755,0.28500000000000003,17758.0
w_e_b,float64,65870,0,0.0,65655,0.001098405803525128,0.004487648761082746,4.6489089260999097e-07,0.32091244764394167
delta_trend,float64,65870,0,0.0,15,0.20266433884924853,0.9135728813305914,-3.0,4.0
last_order_month_cos,float64,65870,0,0.0,11,0.0817004522871952,0.6815693170443247,-1.0,1.0
last_order_month_sin,float64,65870,0,0.0,11,-0.3470778499900887,0.6390137085306518,-1.0,1.0
last_order_quarter_cos,float64,65870,0,0.0,4,-0.1453013511461971,0.5919949678799377,-1.0,1.0
last_order_quarter_sin,float64,65870,0,0.0,4,-0.36051313192652196,0.7060259521009246,-1.0,1.0
q4_share,float64,65870,0,0.0,69,0.2754319625980738,0.3066403316690532,0.0,1.0
recent_3m_count,float64,65870,0,0.0,4,0.6224988613936542,0.851647881483689,0.0,3.0
recent_6m_count,float64,65870,0,0.0,7,1.2537422195233034,1.4545650032745594,0.0,6.0
recent_3_over_6,float64,65870,24660,0.37437376650979204,9,0.4960677020140743,0.40374846044786145,0.0,1.0
recency_to_gap_ratio,float64,65870,15479,0.234993168361925,633,1.5372284430174277,2.2325819919621313,0.0,18.0
delta_vs_expected_gap,float64,65870,15479,0.234993168361925,769,-0.04490404037937682,5.566904514345077,-23.0,17.0
log_employees,float64,65870,0,0.0,90,7.143944797459907,2.0045626384723025,0.0,13.275470655934871
nace_2,str,65870,906,0.013754364657659026,35,,,,
nace_code,str,65870,906,0.013754364657659026,71,,,,
