feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max
n_orders,int64,35157,0,0.0,266,10.231817276786984,23.38526816457748,1.0,576.0
m_active,int64,35157,0,0.0,24,4.998464032767301,4.993601313172352,1.0,24.0
m_observed,int64,35157,0,0.0,24,11.257046960775948,8.086364778429735,1.0,24.0
rho_freq,float64,35157,0,0.0,187,0.6057238353413845,0.3924583469438394,0.08695652173913043,3.0
delta_recency,int64,35157,0,0.0,19,5.433540973348124,4.809353112473344,0.0,18.0
sigma_gap,float64,35157,7844,0.22311346246835623,1648,1.4932427248683728,1.6283529287028762,0.0,10.5
mu_gap,float64,35157,7844,0.22311346246835623,172,4.6485344773752395,3.8027241522090125,1.0,23.0
CV_gap,float64,35157,7844,0.22311346246835623,2294,0.4110725109019173,0.33050007520765046,0.0,1.6378460497066514
s_total,float64,35157,0,0.0,31706,1185.256359487442,3844.2633271188192,0.5700000000000001,181754.87993
s_total_sqrt,float64,35157,0,0.0,31218,24.711541776414887,23.97107437521204,0.754983443527075,426.3271982057912
s_median_line,float64,35157,0,0.0,24120,128.55228125963532,282.7282869263096,0.28500000000000003,12400.0
w_e_b,float64,35157,0,0.0,35037,0.0009648336009239266,0.003042605182758677,4.6489089260999097e-07,0.17749527102910279
delta_trend,float64,35157,0,0.0,15,0.21317234121227635,0.9194137837725145,-3.0,4.0
last_order_month_cos,float64,35157,0,0.0,11,0.08638185204734954,0.6813535433720815,-1.0,1.0
last_order_month_sin,float64,35157,0,0.0,11,-0.3563026666590869,0.6335365463865732,-1.0,1.0
last_order_quarter_cos,float64,35157,0,0.0,4,-0.14853372016952535,0.5900615460221578,-1.0,1.0
last_order_quarter_sin,float64,35157,0,0.0,4,-0.3688312427112666,0.7026752933341159,-1.0,1.0
q4_share,float64,35157,0,0.0,69,0.26898363606166703,0.2977287037417251,0.0,1.0
recent_3m_count,float64,35157,0,0.0,4,0.6379952783229513,0.857953325693545,0.0,3.0
recent_6m_count,float64,35157,0,0.0,7,1.289017834286202,1.468235076200927,0.0,6.0
recent_3_over_6,float64,35157,12778,0.36345535739682,9,0.4944717517911137,0.4005720906175185,0.0,1.0
active_month_share_12m,float64,35157,0,0.0,13,0.22059855315679192,0.22196848943789046,0.0,1.0
recency_to_gap_ratio,float64,35157,7844,0.22311346246835623,603,1.515589114623947,2.223880778457398,0.0,18.0
delta_vs_expected_gap,float64,35157,7844,0.22311346246835623,708,-0.11717578371288133,5.560724489107131,-23.0,17.0
is_overdue,float64,35157,7844,0.22311346246835623,2,0.39677076849851717,0.4892366391441339,0.0,1.0
spend_recent_3m,float64,35157,0,0.0,20105,454.77185081918253,1784.8709910879684,0.0,120774.91
spend_recent_6m,float64,35157,0,0.0,23411,611.9514033808346,2267.7615526077857,0.0,133194.36000000002
spend_recent_ratio,float64,35157,8762,0.24922490542423983,11953,0.7063936326081901,0.36219110275708666,0.0,1.0
order_value_cv,float64,35157,0,0.0,30094,0.6403912105092042,0.502845931841964,0.0,9.145830608062438
log_employees,float64,35157,0,0.0,47,7.148790334492974,1.6492194364547021,0.0,12.620883941637919
nace_2,str,35157,0,0.0,25,,,,
nace_code,str,35157,0,0.0,41,,,,
