feature_a,feature_b,abs_spearman
n_orders,m_active,0.9641
n_orders,m_observed,0.891
n_orders,order_value_cv,0.8782
n_orders,n_orders_in_lookback,1.0
n_orders,avg_monthly_orders_buyer_tenure,0.9868
n_orders,avg_monthly_orders_pair_tenure,0.9033
n_orders,avg_monthly_orders_in_lookback,0.9868
n_orders,n_distinct_manufacturers,0.8869
m_active,m_observed,0.929
m_active,active_year_span,0.8637
m_active,order_value_cv,0.8563
m_active,has_gap_history,0.8618
m_active,n_orders_in_lookback,0.9641
m_active,avg_monthly_orders_buyer_tenure,0.9504
m_active,avg_monthly_orders_pair_tenure,0.8541
m_active,avg_monthly_orders_in_lookback,0.9504
m_active,n_distinct_manufacturers,0.8907
m_observed,active_year_span,0.9371
m_observed,has_multi_year_history,0.8782
m_observed,n_orders_in_lookback,0.891
m_observed,avg_monthly_orders_buyer_tenure,0.8743
m_observed,avg_monthly_orders_in_lookback,0.8743
rho_freq,mu_gap,0.9602
rho_freq,recency_to_gap_ratio,0.8853
delta_recency,active_month_share_12m,0.8755
delta_recency,last_order_year,0.9209
delta_recency,years_since_last_order,0.9209
delta_recency,days_since_last,0.9983
sigma_gap,CV_gap,0.8693
historical_purchase_value_total,historical_purchase_value_sqrt,1.0
historical_purchase_value_total,w_e_b,0.9426
historical_purchase_value_total,lookback_spend,1.0
historical_purchase_value_total,avg_monthly_spend_buyer_tenure,0.9985
historical_purchase_value_total,avg_monthly_spend_pair_tenure,0.9694
historical_purchase_value_total,avg_monthly_spend_in_lookback,0.9985
historical_purchase_value_sqrt,w_e_b,0.9426
historical_purchase_value_sqrt,lookback_spend,1.0
historical_purchase_value_sqrt,avg_monthly_spend_buyer_tenure,0.9985
historical_purchase_value_sqrt,avg_monthly_spend_pair_tenure,0.9694
historical_purchase_value_sqrt,avg_monthly_spend_in_lookback,0.9985
s_median_line,avg_spend_per_order,0.9506
w_e_b,lookback_spend,0.9426
w_e_b,avg_monthly_spend_buyer_tenure,0.9446
w_e_b,avg_monthly_spend_pair_tenure,0.9229
w_e_b,avg_monthly_spend_in_lookback,0.9446
delta_trend,active_month_share_12m,0.8724
active_month_share_12m,last_order_year,0.8892
active_month_share_12m,years_since_last_order,0.8892
active_month_share_12m,days_since_last,0.8764
first_order_year,pair_tenure_months,0.8507
last_order_year,years_since_last_order,1.0
last_order_year,days_since_last,0.9198
years_since_last_order,days_since_last,0.9198
active_year_span,has_multi_year_history,0.9329
order_value_cv,n_orders_in_lookback,0.8782
order_value_cv,avg_monthly_orders_buyer_tenure,0.866
order_value_cv,avg_monthly_orders_in_lookback,0.866
n_orders_in_lookback,avg_monthly_orders_buyer_tenure,0.9868
n_orders_in_lookback,avg_monthly_orders_pair_tenure,0.9033
n_orders_in_lookback,avg_monthly_orders_in_lookback,0.9868
n_orders_in_lookback,n_distinct_manufacturers,0.8869
lookback_spend,avg_monthly_spend_buyer_tenure,0.9985
lookback_spend,avg_monthly_spend_pair_tenure,0.9694
lookback_spend,avg_monthly_spend_in_lookback,0.9985
buyer_tenure_months,effective_lookback_months,1.0
avg_monthly_orders_buyer_tenure,avg_monthly_orders_pair_tenure,0.9072
avg_monthly_orders_buyer_tenure,avg_monthly_orders_in_lookback,1.0
avg_monthly_orders_buyer_tenure,n_distinct_manufacturers,0.8752
avg_monthly_orders_pair_tenure,avg_monthly_orders_in_lookback,0.9072
avg_monthly_spend_buyer_tenure,avg_monthly_spend_pair_tenure,0.9714
avg_monthly_spend_buyer_tenure,avg_monthly_spend_in_lookback,1.0
avg_monthly_spend_pair_tenure,avg_monthly_spend_in_lookback,0.9714
avg_monthly_orders_in_lookback,n_distinct_manufacturers,0.8752
top_manufacturer_share,n_distinct_manufacturers,0.9326
