feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
n_orders,int64,96641,0,0.0,376,9.23510725261535,27.12199092323876,1.0,2415.0,0.0,,1.0,1.0,3.0,35.0,106.0,0.7816993527949124,0.49722169378613673,0.43612449568507217
m_active,int64,96641,0,0.0,30,4.5844827764613365,5.584529254533371,1.0,30.0,0.0,,1.0,1.0,2.0,17.0,27.0,0.7865829680747716,0.5104868391139965,0.4198546782194316
m_observed,int64,96641,0,0.0,30,11.143851988286546,10.421160262934949,1.0,30.0,0.0,,1.0,1.0,8.0,28.0,30.0,0.8121743909824803,0.5570553377810568,0.3065821407958956
rho_freq,float64,96641,0,0.0,294,0.6584249621502719,0.3999504888542595,0.06666666666666667,3.0,0.0,,0.09523809523809523,0.14285714285714285,0.6333333333333333,1.0,2.0,0.6812548147520368,0.32378228458531455,0.16976880055114432
delta_recency,int64,96641,0,0.0,31,15.358057139309404,8.328403504505683,6.0,36.0,0.0,,6.0,6.0,13.0,32.0,35.0,0.9997021831977978,0.8657445139338188,-0.3186018756562515
sigma_gap,float64,96641,35869,0.37115716931737047,3898,1.7999462312251273,1.9957491908136702,0.0,13.5,0.1807721360499167,,0.0,0.0,1.299038105676658,5.787918451395113,8.956685895029603,0.640423462283531,0.23859427785129098,-0.14627484643756417
mu_gap,float64,96641,35869,0.37115716931737047,269,5.330243133280945,4.605106647152499,1.0,29.0,0.0,,1.0,1.0357142857142858,4.0,15.0,23.0,0.5645644958691821,0.10841943788813659,-0.44755980929970857
CV_gap,float64,96641,35869,0.37115716931737047,5521,0.43285057913385744,0.34303413655325754,0.0,1.915888880426083,0.1807721360499167,,0.0,0.0,0.4790497927396483,0.9654458163822279,1.1923794310046585,0.6713238271479438,0.2910944651350495,0.0368605646426564
historical_purchase_value_total,float64,96641,0,0.0,69742,1109.4288097862193,4584.585474901287,0.0449,571190.78,0.0,,4.02,11.57,210.98000000000002,4533.109930000001,14798.34802400017,0.7105620123981249,0.36418286238425834,0.7852241042580256
historical_purchase_value_sqrt,float64,96641,0,0.0,67681,22.253243193700012,24.78363034186141,0.21189620100417092,755.7716454062033,0.0,,2.004993765576342,3.4014702703389896,14.525150601628887,67.32837388501227,121.64844654705078,0.7105619975798194,0.36418283678372826,0.7852241091189405
