feature_a,feature_b,abs_spearman
n_orders,m_active,0.9083
n_orders,m_observed,0.8613
n_orders,order_value_cv,0.9572
n_orders,has_gap_history,0.8819
n_orders,n_orders_in_lookback,1.0
n_orders,avg_monthly_orders_buyer_tenure,0.932
n_orders,avg_monthly_orders_in_lookback,0.932
m_active,m_observed,0.9494
m_active,CV_gap,0.8682
m_active,order_value_cv,0.8828
m_active,has_gap_history,0.9766
m_active,n_orders_in_lookback,0.9083
m_observed,rho_freq,0.9208
m_observed,active_year_span,0.8964
m_observed,has_gap_history,0.9274
m_observed,has_multi_year_history,0.8881
m_observed,n_orders_in_lookback,0.8613
rho_freq,mu_gap,0.9586
rho_freq,recency_to_gap_ratio,0.9011
delta_recency,last_order_year,0.939
delta_recency,years_since_last_order,0.939
delta_recency,days_since_last,0.9993
sigma_gap,CV_gap,0.9524
mu_gap,recency_to_gap_ratio,0.872
historical_purchase_value_total,historical_purchase_value_sqrt,1.0
historical_purchase_value_total,w_e_b,0.9273
historical_purchase_value_total,lookback_spend,1.0
historical_purchase_value_total,avg_spend_per_order,0.8745
historical_purchase_value_total,avg_monthly_spend_buyer_tenure,0.9982
historical_purchase_value_total,avg_monthly_spend_pair_tenure,0.9502
historical_purchase_value_total,avg_monthly_spend_in_lookback,0.9982
historical_purchase_value_sqrt,w_e_b,0.9273
historical_purchase_value_sqrt,lookback_spend,1.0
historical_purchase_value_sqrt,avg_spend_per_order,0.8745
historical_purchase_value_sqrt,avg_monthly_spend_buyer_tenure,0.9982
historical_purchase_value_sqrt,avg_monthly_spend_pair_tenure,0.9502
historical_purchase_value_sqrt,avg_monthly_spend_in_lookback,0.9982
s_median_line,avg_spend_per_order,0.9858
w_e_b,lookback_spend,0.9273
w_e_b,avg_monthly_spend_buyer_tenure,0.9299
w_e_b,avg_monthly_spend_pair_tenure,0.8901
w_e_b,avg_monthly_spend_in_lookback,0.9299
first_order_year,pair_tenure_months,0.9162
last_order_year,years_since_last_order,1.0
last_order_year,days_since_last,0.9388
years_since_last_order,days_since_last,0.9388
active_year_span,has_multi_year_history,0.9911
recency_to_gap_ratio,delta_vs_expected_gap,0.904
order_value_cv,has_gap_history,0.8787
order_value_cv,n_orders_in_lookback,0.9572
order_value_cv,avg_monthly_orders_buyer_tenure,0.8914
order_value_cv,avg_monthly_orders_in_lookback,0.8914
has_gap_history,n_orders_in_lookback,0.8819
n_orders_in_lookback,avg_monthly_orders_buyer_tenure,0.932
n_orders_in_lookback,avg_monthly_orders_in_lookback,0.932
lookback_spend,avg_spend_per_order,0.8745
lookback_spend,avg_monthly_spend_buyer_tenure,0.9982
lookback_spend,avg_monthly_spend_pair_tenure,0.9502
lookback_spend,avg_monthly_spend_in_lookback,0.9982
avg_spend_per_order,avg_monthly_spend_buyer_tenure,0.8733
avg_spend_per_order,avg_monthly_spend_pair_tenure,0.8659
avg_spend_per_order,avg_monthly_spend_in_lookback,0.8733
buyer_tenure_months,effective_lookback_months,1.0
avg_monthly_orders_buyer_tenure,avg_monthly_orders_in_lookback,1.0
avg_monthly_spend_buyer_tenure,avg_monthly_spend_pair_tenure,0.9522
avg_monthly_spend_buyer_tenure,avg_monthly_spend_in_lookback,1.0
avg_monthly_spend_pair_tenure,avg_monthly_spend_in_lookback,0.9522
top_manufacturer_share,n_distinct_manufacturers,0.873
