feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
n_orders,int64,323176,0,0.0,230,2.761622150159665,7.478320560184538,1.0,876.0,0.0,,1.0,1.0,1.0,8.0,25.0,0.6555308376911462,0.2828662967734338,0.28734185440563825
m_active,int64,323176,0,0.0,30,1.9775230833972819,2.475897414171483,1.0,30.0,0.0,,1.0,1.0,1.0,6.0,14.0,0.6587980887168388,0.30385449769117145,0.25787100455255024
m_observed,int64,323176,0,0.0,30,4.880275763051712,7.310351753689024,1.0,30.0,0.0,,1.0,1.0,1.0,23.0,28.0,0.6681700522190259,0.3284310424618517,0.19726912988673723
rho_freq,float64,323176,0,0.0,292,0.8313081070095403,0.36887635657881856,0.06666666666666667,3.0,0.0,,0.1,0.15789473684210525,1.0,1.0,2.0,0.6433837921990023,0.27911253428620153,-0.06598238104010336
delta_recency,int64,323176,0,0.0,31,18.65385424660247,8.715685746276653,6.0,36.0,0.0,,6.0,7.0,18.0,34.0,36.0,0.9996834883345694,0.7986560570693424,-0.14010815694662254
sigma_gap,float64,323176,216128,0.6687625318711785,3570,1.4335432783911604,2.0543321137305237,0.0,13.5,0.1631278312745996,,0.0,0.0,0.463033476111609,5.557777333511022,9.0,0.6502193278969715,0.2770765930059318,0.03378679547744587
mu_gap,float64,323176,216128,0.6687625318711785,269,6.2743216555378245,5.124562174439214,1.0,29.0,0.0,,1.0,1.0,4.8,17.0,24.0,0.5459127145643055,0.0795298514517961,-0.31621268117694024
CV_gap,float64,323176,216128,0.6687625318711785,5180,0.2977429085279128,0.3450211173546208,0.0,1.8534282276381642,0.1631278312745996,,0.0,0.0,0.09090909090909091,0.9047619047619048,1.1488877711309136,0.6509684517088609,0.2784522125437333,0.13846259445204057
historical_purchase_value_total,float64,323176,0,0.0,113829,331.75826672324064,1900.2155773660006,0.0119899999999999,571190.78,0.0,,2.68,6.98,73.64,1217.2075,4235.3825125,0.6044058412063857,0.16675694321863932,0.8396209205454417
historical_purchase_value_sqrt,float64,323176,0,0.0,107133,12.469832708106207,13.276373162914098,0.10949885844153764,755.7716454062033,0.0,,1.6370705543744901,2.6419689627245813,8.581375181169975,34.88850097045359,65.07981570534774,0.6044058371303932,0.1667569367722441,0.8396209311565608
s_median_line,float64,323176,0,0.0,89548,120.07938310445392,325.3829670368578,0.0119899999999999,28072.92,0.0,,2.29,5.65,43.6,442.4,1262.61,0.500770211327106,0.0012301810450301323,0.8288591790099968
w_e_b,float64,323176,0,0.0,297004,0.0003001460504492908,0.003454932066555966,8.805476559228774e-09,1.0,0.0,,1.7056919954994145e-06,4.703169350241584e-06,5.818908016270311e-05,0.0010215119366065225,0.003652335678450215,0.6057345992183245,0.1688792342650041,0.7914454760535721
delta_trend,float64,323176,0,0.0,5,-0.1312272569745278,0.28546148179036,-2.0,0.0,0.7870726786642572,,-1.5,-0.5,0.0,0.0,0.0,0.8472667998950322,0.7790680852531405,-0.2186793524080169
last_order_month_cos,float64,323176,0,0.0,11,0.03951880073048388,0.7025812667553282,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.5793468723423285,0.1275614132367136,-0.13912105290309626
last_order_month_sin,float64,323176,0,0.0,11,0.16284691235700582,0.6915936079355419,-1.0,1.0,0.10753583186870312,,-1.0,-1.0,0.49999999999999994,1.0,1.0,0.7530071274725639,0.40746563775426364,0.034000255557696514
last_order_quarter_cos,float64,323176,0,0.0,4,0.1436183379953957,0.6917657086422989,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.7457007545346189,0.40849340446855076,-0.11691141424874366
last_order_quarter_sin,float64,323176,0,0.0,4,0.13517711711265687,0.6946683368921813,-1.0,1.0,0.32139143995841274,,-1.0,-1.0,0.0,1.0,1.0,0.6534270554382715,0.2550824084047895,0.11691141424874366
q4_share,float64,323176,0,0.0,88,0.1888082640715855,0.3461250922709137,0.0,1.0,0.7080197786964378,,0.0,0.0,0.0,1.0,1.0,0.5491381717040913,0.09790425338746866,0.1467739636752514
recent_3m_count,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_6m_count,float64,323176,0,0.0,1,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.5,,
recent_3_over_6,float64,323176,323176,1.0,0,,,,,0.0,,,,,,,,,
active_month_share_12m,float64,323176,0,0.0,7,0.034322113440767056,0.06392429160594502,0.0,0.5,0.6934240166348986,,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,1.0,0.9888375541924891,0.3764988751258285
