feature_a,feature_b,abs_spearman
n_orders,m_active,0.9644
n_orders,m_observed,0.8937
n_orders,order_value_cv,0.878
n_orders,n_orders_in_lookback,1.0
n_orders,avg_monthly_orders_buyer_tenure,0.9824
n_orders,avg_monthly_orders_pair_tenure,0.8993
n_orders,avg_monthly_orders_in_lookback,0.9824
m_active,m_observed,0.9315
m_active,active_year_span,0.8706
m_active,order_value_cv,0.8557
m_active,has_gap_history,0.8619
m_active,n_orders_in_lookback,0.9644
m_active,avg_monthly_orders_buyer_tenure,0.9459
m_active,avg_monthly_orders_in_lookback,0.9459
m_observed,active_year_span,0.9382
m_observed,has_multi_year_history,0.8789
m_observed,n_orders_in_lookback,0.8937
m_observed,avg_monthly_orders_buyer_tenure,0.8703
m_observed,avg_monthly_orders_in_lookback,0.8703
rho_freq,mu_gap,0.9605
rho_freq,recency_to_gap_ratio,0.8882
delta_recency,active_month_share_12m,0.8786
delta_recency,last_order_year,0.914
delta_recency,years_since_last_order,0.914
delta_recency,days_since_last,0.998
sigma_gap,CV_gap,0.8665
historical_purchase_value_total,historical_purchase_value_sqrt,1.0
historical_purchase_value_total,w_e_b,0.9368
historical_purchase_value_total,lookback_spend,1.0
historical_purchase_value_total,avg_monthly_spend_buyer_tenure,0.9973
historical_purchase_value_total,avg_monthly_spend_pair_tenure,0.9672
historical_purchase_value_total,avg_monthly_spend_in_lookback,0.9973
historical_purchase_value_sqrt,w_e_b,0.9368
historical_purchase_value_sqrt,lookback_spend,1.0
historical_purchase_value_sqrt,avg_monthly_spend_buyer_tenure,0.9973
historical_purchase_value_sqrt,avg_monthly_spend_pair_tenure,0.9672
historical_purchase_value_sqrt,avg_monthly_spend_in_lookback,0.9973
s_median_line,avg_spend_per_order,0.9519
w_e_b,lookback_spend,0.9368
w_e_b,avg_monthly_spend_buyer_tenure,0.9397
w_e_b,avg_monthly_spend_pair_tenure,0.9224
w_e_b,avg_monthly_spend_in_lookback,0.9397
delta_trend,active_month_share_12m,0.8711
delta_trend,days_since_last,0.8512
active_month_share_12m,last_order_year,0.8885
active_month_share_12m,years_since_last_order,0.8885
active_month_share_12m,days_since_last,0.8797
first_order_year,pair_tenure_months,0.8558
last_order_year,years_since_last_order,1.0
last_order_year,days_since_last,0.9127
years_since_last_order,days_since_last,0.9127
active_year_span,has_multi_year_history,0.933
order_value_cv,n_orders_in_lookback,0.878
order_value_cv,avg_monthly_orders_buyer_tenure,0.8615
order_value_cv,avg_monthly_orders_in_lookback,0.8615
n_orders_in_lookback,avg_monthly_orders_buyer_tenure,0.9824
n_orders_in_lookback,avg_monthly_orders_pair_tenure,0.8993
n_orders_in_lookback,avg_monthly_orders_in_lookback,0.9824
lookback_spend,avg_monthly_spend_buyer_tenure,0.9973
lookback_spend,avg_monthly_spend_pair_tenure,0.9672
lookback_spend,avg_monthly_spend_in_lookback,0.9973
buyer_tenure_months,effective_lookback_months,1.0
avg_monthly_orders_buyer_tenure,avg_monthly_orders_pair_tenure,0.9069
avg_monthly_orders_buyer_tenure,avg_monthly_orders_in_lookback,1.0
avg_monthly_orders_pair_tenure,avg_monthly_orders_in_lookback,0.9069
avg_monthly_spend_buyer_tenure,avg_monthly_spend_pair_tenure,0.9703
avg_monthly_spend_buyer_tenure,avg_monthly_spend_in_lookback,1.0
avg_monthly_spend_pair_tenure,avg_monthly_spend_in_lookback,0.9703
