feature,dtype,n,null_count,null_rate,n_unique,mean,std,min,max,zero_rate,top_category_share,p01,p05,p50,p95,p99,label_auc,abs_spearman_label,value_spearman_pos
n_orders,int64,44449,0,0.0,289,9.317172489819793,24.734236468993142,1.0,696.0,0.0,,1.0,1.0,3.0,36.0,105.0,0.797817946046894,0.5260550269871768,0.42371463716234153
m_active,int64,44449,0,0.0,30,4.720781119935206,5.736704066265367,1.0,30.0,0.0,,1.0,1.0,2.0,18.0,27.0,0.8031548342976627,0.5402481118848056,0.4130729923553993
m_observed,int64,44449,0,0.0,30,11.731085063780963,10.72416473334999,1.0,30.0,0.0,,1.0,1.0,9.0,29.0,30.0,0.8296472278687576,0.5883949867221756,0.32657999255741815
rho_freq,float64,44449,0,0.0,280,0.6452487876217531,0.399420108760887,0.06666666666666667,3.0,0.0,,0.09090909090909091,0.13333333333333333,0.5925925925925926,1.0,2.0,0.6924022267081277,0.3436004515238611,0.17749379971902973
delta_recency,int64,44449,0,0.0,31,15.19782222322212,8.42256520832146,6.0,36.0,0.0,,6.0,6.0,12.0,32.0,35.0,0.9996971112569509,0.8670233347098719,-0.3097092258227488
sigma_gap,float64,44449,16368,0.3682422551688452,3129,1.8939223337758653,2.0568789693819776,0.0,13.5,0.17444711917028505,,0.0,0.0,1.4177446878757824,6.0,9.0,0.6504894885237981,0.2513804517968508,-0.15364076124227052
mu_gap,float64,44449,16368,0.3682422551688452,257,5.48590109874711,4.672208102956196,1.0,29.0,0.0,,1.0,1.0740740740740742,4.0,15.0,23.0,0.5743752487583809,0.12294975136494511,-0.43292265993461665
CV_gap,float64,44449,16368,0.3682422551688452,4366,0.44363966335800237,0.34371641024797317,0.0,1.915888880426083,0.17444711917028505,,0.0,0.0,0.49828237211384113,0.9718253158075502,1.207106810186692,0.6849680436014108,0.3089715399970115,0.035459344561067946
historical_purchase_value_total,float64,44449,0,0.0,36339,1084.7424292134806,4059.2787716993316,0.0449,212453.97993,0.0,,3.9648000000000003,11.2,204.0,4445.416019999997,14867.281551999926,0.7231287177974839,0.3864136310267196,0.7868155276250772
historical_purchase_value_sqrt,float64,44449,0,0.0,35600,21.96280790318344,24.543656015982233,0.21189620100417092,460.9273043875791,0.0,,1.991180159159106,3.3466401061363023,14.2828568570857,66.6739528228031,121.93145211997023,0.7231287350115017,0.3864136608839724,0.7868155304868358
s_median_line,float64,44449,0,0.0,26628,122.24411477693535,298.89428728361224,0.0449,12400.0,0.0,,2.65,6.404000000000001,46.58,444.7499999999991,1261.2941999999941,0.5198133081044689,0.03431262650272006,0.6235384271991227
w_e_b,float64,44449,0,0.0,44064,0.0008999077594546559,0.003367928432874201,5.49129967311123e-08,0.23106502853063632,0.0,,2.96387979336471e-06,9.210244161870223e-06,0.0001865492533306561,0.003631897857494865,0.011408794152062116,0.7231762213983526,0.386495897328432,0.740631967513638
delta_trend,float64,44449,0,0.0,5,-0.3117842921100587,0.4882503406590974,-2.0,0.0,0.6163468244504938,,-2.0,-1.5,0.0,0.0,0.0,0.8903360190441311,0.7795006918552394,-0.44326120080585657
last_order_month_cos,float64,44449,0,0.0,11,-0.038468149125968035,0.7011192654360077,-1.0,1.0,0.0,,-1.0,-0.8660254037844388,6.123233995736766e-17,1.0,1.0,0.5059785448128069,0.010442139976601173,-0.30457449274118475
last_order_month_sin,float64,44449,0,0.0,11,0.266955702511934,0.660081428006389,-1.0,1.0,0.0919930707102522,,-1.0,-0.9464101615137632,0.49999999999999994,1.0,1.0,0.7758189771463054,0.484521408825693,0.003961935292626269
last_order_quarter_cos,float64,44449,0,0.0,4,0.16011608810096964,0.6298578989298649,-1.0,1.0,0.0,,-1.0,-1.0,6.123233995736766e-17,1.0,1.0,0.7448603175617693,0.4488264308684798,-0.2536632229658903
last_order_quarter_sin,float64,44449,0,0.0,4,0.2727170465027335,0.7094276045866272,-1.0,1.0,0.291232648653513,,-1.0,-1.0,1.2246467991473532e-16,1.0,1.0,0.7203796270115238,0.4039535781568899,0.2536632229658903
